X,Y,Site,Plot,Stake,color,full ID,UTM EASTIN,UTM NORTHI
314067.89,4879226.68,C1,1,A1,orange,C1 1 A1,314067.890000000010000,4879226.679999999700000
314061.71,4879234.54,C1,1,A2,blue,C1 1 A2,314061.710000000020000,4879234.540000000000000
314055.53,4879242.41,C1,1,A3,blue,C1 1 A3,314055.530000000030000,4879242.410000000100000
314049.36,4879250.27,C1,1,A4,orange,C1 1 A4,314049.359999999990000,4879250.269999999600000
314075.75,4879232.86,C1,1,B1,blue,C1 1 B1,314075.750000000000000,4879232.860000000300000
314069.57,4879240.72,C1,1,B2,blue,C1 1 B2,314069.570000000010000,4879240.719999999700000
314063.4,4879248.59,C1,1,B3,blue,C1 1 B3,314063.400000000020000,4879248.589999999900000
314057.22,4879256.45,C1,1,B4,blue,C1 1 B4,314057.219999999970000,4879256.450000000200000
314083.62,4879239.03,C1,1,C1,blue,C1 1 C1,314083.620000000000000,4879239.030000000300000
314077.44,4879246.9,C1,1,C2,blue,C1 1 C2,314077.440000000000000,4879246.900000000400000
314071.26,4879254.76,C1,1,C3,blue,C1 1 C3,314071.260000000010000,4879254.759999999800000
314065.08,4879262.63,C1,1,C4,blue,C1 1 C4,314065.080000000020000,4879262.629999999900000
314091.48,4879245.21,C1,1,D1,orange,C1 1 D1,314091.479999999980000,4879245.210000000000000
314085.3,4879253.07,C1,1,D2,blue,C1 1 D2,314085.299999999990000,4879253.070000000300000
314079.13,4879260.94,C1,1,D3,blue,C1 1 D3,314079.130000000000000,4879260.940000000400000
314072.95,4879268.8,C1,1,D4,orange,C1 1 D4,314072.950000000010000,4879268.799999999800000
314105.52,4879243.52,C1,1,E,pink,C1 1 E,314105.520000000020000,4879243.519999999600000
314074.64,4879282.85,C1,1,N,pink,C1 1 N,314074.640000000010000,4879282.849999999600000
314028.56,4879195.79,C1,2,A1,orange,C1 2 A1,314028.560000000000000,4879195.790000000000000
314022.39,4879203.66,C1,2,A2,blue,C1 2 A2,314022.390000000010000,4879203.660000000100000
314016.21,4879211.52,C1,2,A3,blue,C1 2 A3,314016.210000000020000,4879211.519999999600000
314010.03,4879219.39,C1,2,A4,orange,C1 2 A4,314010.030000000030000,4879219.389999999700000
314036.43,4879201.97,C1,2,B1,blue,C1 2 B1,314036.429999999990000,4879201.969999999700000
314030.25,4879209.84,C1,2,B2,blue,C1 2 B2,314030.250000000000000,4879209.839999999900000
314024.07,4879217.7,C1,2,B3,blue,C1 2 B3,314024.070000000010000,4879217.700000000200000
314017.9,4879225.57,C1,2,B4,blue,C1 2 B4,314017.900000000020000,4879225.570000000300000
314044.29,4879208.15,C1,2,C1,blue,C1 2 C1,314044.289999999980000,4879208.150000000400000
314038.11,4879216.01,C1,2,C2,blue,C1 2 C2,314038.109999999990000,4879216.009999999800000
314031.94,4879223.88,C1,2,C3,blue,C1 2 C3,314031.940000000000000,4879223.879999999900000
314025.76,4879231.74,C1,2,C4,blue,C1 2 C4,314025.760000000010000,4879231.740000000200000
314052.16,4879214.33,C1,2,D1,orange,C1 2 D1,314052.159999999970000,4879214.330000000100000
314045.98,4879222.19,C1,2,D2,blue,C1 2 D2,314045.979999999980000,4879222.190000000400000
314039.8,4879230.05,C1,2,D3,blue,C1 2 D3,314039.799999999990000,4879230.049999999800000
314033.63,4879237.92,C1,2,D4,orange,C1 2 D4,314033.630000000000000,4879237.919999999900000
314026.87,4879181.75,C1,2,S,pink,C1 2 S,314026.870000000000000,4879181.750000000000000
313995.99,4879221.08,C1,2,W,pink,C1 2 W,313995.989999999990000,4879221.080000000100000
313964.88,4879166.43,C1,3,A1,orange,C1 3 A1,313964.880000000000000,4879166.429999999700000
313964.55,4879156.44,C1,3,A2,blue,C1 3 A2,313964.549999999990000,4879156.440000000400000
313964.23,4879146.44,C1,3,A3,blue,C1 3 A3,313964.229999999980000,4879146.440000000400000
313963.91,4879136.45,C1,3,A4,orange,C1 3 A4,313963.909999999970000,4879136.450000000200000
313974.87,4879166.11,C1,3,B1,blue,C1 3 B1,313974.870000000000000,4879166.110000000300000
313974.55,4879156.12,C1,3,B2,blue,C1 3 B2,313974.549999999990000,4879156.120000000100000
313974.23,4879146.12,C1,3,B3,blue,C1 3 B3,313974.229999999980000,4879146.120000000100000
313973.9,4879136.13,C1,3,B4,blue,C1 3 B4,313973.900000000020000,4879136.129999999900000
313984.87,4879165.79,C1,3,C1,blue,C1 3 C1,313984.870000000000000,4879165.790000000000000
313984.54,4879155.79,C1,3,C2,blue,C1 3 C2,313984.539999999980000,4879155.790000000000000
313984.22,4879145.8,C1,3,C3,blue,C1 3 C3,313984.219999999970000,4879145.799999999800000
313983.9,4879135.8,C1,3,C4,blue,C1 3 C4,313983.900000000020000,4879135.799999999800000
313994.86,4879165.46,C1,3,D1,orange,C1 3 D1,313994.859999999990000,4879165.460000000000000
313994.54,4879155.47,C1,3,D2,blue,C1 3 D2,313994.539999999980000,4879155.469999999700000
313994.22,4879145.47,C1,3,D3,blue,C1 3 D3,313994.219999999970000,4879145.469999999700000
313993.89,4879135.48,C1,3,D4,orange,C1 3 D4,313993.890000000010000,4879135.480000000400000
314005.18,4879175.14,C1,3,NE,pink,C1 3 NE,314005.179999999990000,4879175.139999999700000
313955.21,4879176.75,C1,3,NW,pink,C1 3 NW,313955.210000000020000,4879176.750000000000000
314003.56,4879125.16,C1,3,SE,pink,C1 3 SE,314003.560000000000000,4879125.160000000100000
313953.59,4879126.78,C1,3,SW,pink,C1 3 SW,313953.590000000030000,4879126.780000000300000
313953.5,4879235.4,C1,4,A1,orange,C1 4 A1,313953.500000000000000,4879235.400000000400000
313954.91,4879225.5,C1,4,A2,blue,C1 4 A2,313954.909999999970000,4879225.500000000000000
313956.33,4879215.6,C1,4,A3,blue,C1 4 A3,313956.330000000020000,4879215.599999999600000
313957.75,4879205.7,C1,4,A4,orange,C1 4 A4,313957.750000000000000,4879205.700000000200000
313963.39,4879236.82,C1,4,B1,blue,C1 4 B1,313963.390000000010000,4879236.820000000300000
313964.81,4879226.92,C1,4,B2,blue,C1 4 B2,313964.810000000000000,4879226.919999999900000
313966.23,4879217.02,C1,4,B3,blue,C1 4 B3,313966.229999999980000,4879217.019999999600000
313967.65,4879207.12,C1,4,B4,blue,C1 4 B4,313967.650000000020000,4879207.120000000100000
313973.29,4879238.23,C1,4,C1,blue,C1 4 C1,313973.289999999980000,4879238.230000000400000
313974.71,4879228.33,C1,4,C2,blue,C1 4 C2,313974.710000000020000,4879228.330000000100000
313976.13,4879218.43,C1,4,C3,blue,C1 4 C3,313976.130000000000000,4879218.429999999700000
313977.55,4879208.53,C1,4,C4,blue,C1 4 C4,313977.549999999990000,4879208.530000000300000
313983.19,4879239.65,C1,4,D1,orange,C1 4 D1,313983.190000000000000,4879239.650000000400000
313984.61,4879229.75,C1,4,D2,blue,C1 4 D2,313984.609999999990000,4879229.750000000000000
313986.03,4879219.85,C1,4,D3,blue,C1 4 D3,313986.030000000030000,4879219.849999999600000
313987.44,4879209.95,C1,4,D4,orange,C1 4 D4,313987.440000000000000,4879209.950000000200000
313991.68,4879250.97,C1,4,NE,pink,C1 4 NE,313991.679999999990000,4879250.969999999700000
313942.18,4879243.88,C1,4,NW,pink,C1 4 NW,313942.179999999990000,4879243.879999999900000
313998.76,4879201.47,C1,4,SE,pink,C1 4 SE,313998.760000000010000,4879201.469999999700000
313949.26,4879194.38,C1,4,SW,pink,C1 4 SW,313949.260000000010000,4879194.379999999900000
314135.96,4879269.21,C1,5,A1,orange,C1 5 A1,314135.960000000020000,4879269.210000000000000
314126.68,4879272.93,C1,5,A2,blue,C1 5 A2,314126.679999999990000,4879272.929999999700000
314117.4,4879276.65,C1,5,A3,blue,C1 5 A3,314117.400000000020000,4879276.650000000400000
314108.12,4879280.37,C1,5,A4,orange,C1 5 A4,314108.120000000000000,4879280.370000000100000
314139.68,4879278.49,C1,5,B1,blue,C1 5 B1,314139.679999999990000,4879278.490000000200000
314130.4,4879282.21,C1,5,B2,blue,C1 5 B2,314130.400000000020000,4879282.210000000000000
314121.12,4879285.93,C1,5,B3,blue,C1 5 B3,314121.120000000000000,4879285.929999999700000
314111.84,4879289.66,C1,5,B4,blue,C1 5 B4,314111.840000000030000,4879289.660000000100000
314143.41,4879287.77,C1,5,C1,blue,C1 5 C1,314143.409999999970000,4879287.769999999600000
314134.13,4879291.49,C1,5,C2,blue,C1 5 C2,314134.130000000000000,4879291.490000000200000
314124.84,4879295.21,C1,5,C3,blue,C1 5 C3,314124.840000000030000,4879295.210000000000000
314115.56,4879298.94,C1,5,C4,blue,C1 5 C4,314115.560000000000000,4879298.940000000400000
314147.13,4879297.05,C1,5,D1,orange,C1 5 D1,314147.130000000000000,4879297.049999999800000
314137.85,4879300.77,C1,5,D2,blue,C1 5 D2,314137.849999999980000,4879300.769999999600000
314128.57,4879304.5,C1,5,D3,blue,C1 5 D3,314128.570000000010000,4879304.500000000000000
314119.28,4879308.22,C1,5,D4,orange,C1 5 D4,314119.280000000030000,4879308.219999999700000
314160.13,4879302.61,C1,5,NE,pink,C1 5 NE,314160.130000000000000,4879302.610000000300000
314113.73,4879321.22,C1,5,NW,pink,C1 5 NW,314113.729999999980000,4879321.219999999700000
314141.52,4879256.2,C1,5,SE,pink,C1 5 SE,314141.520000000020000,4879256.200000000200000
314095.11,4879274.82,C1,5,SW,pink,C1 5 SW,314095.109999999990000,4879274.820000000300000
314035.31,4879251.96,C1,"1,2",,pink,"C1 1,2",314035.310000000000000,4879251.960000000000000
314066.2,4879212.64,C1,"1,2",,pink,"C1 1,2",314066.200000000010000,4879212.639999999700000
318204.66,4880925.64,C2,1,A1,orange,C2 1 A1,318204.659999999970000,4880925.639999999700000
318210.13,4880917.26,C2,1,A2,blue,C2 1 A2,318210.130000000000000,4880917.259999999800000
318215.59,4880908.89,C2,1,A3,blue,C2 1 A3,318215.590000000030000,4880908.889999999700000
318221.06,4880900.52,C2,1,A4,orange,C2 1 A4,318221.060000000000000,4880900.519999999600000
318213.03,4880931.11,C2,1,B1,blue,C2 1 B1,318213.030000000030000,4880931.110000000300000
318218.5,4880922.73,C2,1,B2,blue,C2 1 B2,318218.500000000000000,4880922.730000000400000
318223.97,4880914.36,C2,1,B3,blue,C2 1 B3,318223.969999999970000,4880914.360000000300000
318229.43,4880905.99,C2,1,B4,blue,C2 1 B4,318229.429999999990000,4880905.990000000200000
318221.4,4880936.57,C2,1,C1,blue,C2 1 C1,318221.400000000020000,4880936.570000000300000
318226.87,4880928.2,C2,1,C2,blue,C2 1 C2,318226.870000000000000,4880928.200000000200000
318232.34,4880919.83,C2,1,C3,blue,C2 1 C3,318232.340000000030000,4880919.830000000100000
318237.81,4880911.45,C2,1,C4,blue,C2 1 C4,318237.810000000000000,4880911.450000000200000
318229.78,4880942.04,C2,1,D1,orange,C2 1 D1,318229.780000000030000,4880942.040000000000000
318235.25,4880933.67,C2,1,D2,blue,C2 1 D2,318235.250000000000000,4880933.669999999900000
318240.71,4880925.29,C2,1,D3,blue,C2 1 D3,318240.710000000020000,4880925.290000000000000
