Long,Lat,Site,Plot,Stake,color,full ID
-71.32074443,44.04263431,C1,1,A1,orange,C1 1 A1
-71.32082426,44.04270346,C1,1,A2,blue,C1 1 A2
-71.3209041,44.04277269,C1,1,A3,blue,C1 1 A3
-71.32098382,44.04284183,C1,1,A4,orange,C1 1 A4
-71.32064857,44.0426919,C1,1,B1,blue,C1 1 B1
-71.32072841,44.04276104,C1,1,B2,blue,C1 1 B2
-71.32080812,44.04283028,C1,1,B3,blue,C1 1 B3
-71.32088796,44.04289942,C1,1,B4,blue,C1 1 B4
-71.32055259,44.0427494,C1,1,C1,blue,C1 1 C1
-71.32063243,44.04281863,C1,1,C2,blue,C1 1 C2
-71.32071227,44.04288778,C1,1,C3,blue,C1 1 C3
-71.32079211,44.04295701,C1,1,C4,blue,C1 1 C4
-71.32045674,44.04280699,C1,1,D1,orange,C1 1 D1
-71.32053657,44.04287613,C1,1,D2,blue,C1 1 D2
-71.32061629,44.04294537,C1,1,D3,blue,C1 1 D3
-71.32069612,44.04301451,C1,1,D4,orange,C1 1 D4
-71.32028104,44.04279534,C1,1,E,pink,C1 1 E
-71.32067998,44.04314133,C1,1,N,pink,C1 1 N
-71.32122408,44.04234646,C1,2,A1,orange,C1 2 A1
-71.32130379,44.04241569,C1,2,A2,blue,C1 2 A2
-71.32138363,44.04248483,C1,2,A3,blue,C1 2 A3
-71.32146347,44.04255407,C1,2,A4,orange,C1 2 A4
-71.3211281,44.04240405,C1,2,B1,blue,C1 2 B1
-71.32120794,44.04247328,C1,2,B2,blue,C1 2 B2
-71.32128778,44.04254242,C1,2,B3,blue,C1 2 B3
-71.32136749,44.04261166,C1,2,B4,blue,C1 2 B4
-71.32103225,44.04246164,C1,2,C1,blue,C1 2 C1
-71.32111208,44.04253078,C1,2,C2,blue,C1 2 C2
-71.3211918,44.04260001,C1,2,C3,blue,C1 2 C3
-71.32127163,44.04266915,C1,2,C4,blue,C1 2 C4
-71.32093627,44.04251923,C1,2,D1,orange,C1 2 D1
-71.3210161,44.04258837,C1,2,D2,blue,C1 2 D2
-71.32109594,44.04265751,C1,2,D3,blue,C1 2 D3
-71.32117565,44.04272675,C1,2,D4,orange,C1 2 D4
-71.32124022,44.04221972,C1,2,S,pink,C1 2 S
-71.32163916,44.04256571,C1,2,W,pink,C1 2 W
-71.32200794,44.04206619,C1,3,A1,orange,C1 3 A1
