"TOA5","Water_table_WS3upper","CR1000","73373","CR1000.Std.32.05","CPU:WS3_upper_2020-10-30.CR1","58151","WS_3Up_snowdat_15min"
"TIMESTAMP","RECORD","Batt_Volt","ptemp","H2O_Content_1","H2O_Content_2","Avg_Period_1","Avg_Period_2","RTD(1)","RTD(2)","RTD(3)","RTD(4)","RTD(5)","RTD(6)","RTD(7)","RTD(8)","RTD(9)","Air_TempC_Avg","Depthraw","Depthscaled"
"TS","RN","Volts","Deg_C","VWC","VWC","uSec","uSec","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","","","cm"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Smp","Smp"
"2020-10-31 16:15:00",0,12.74,19.52,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-184,18.44,-18.44
"2020-11-09 14:15:00",1,14.48,22.42,"NAN","NAN","NAN","NAN",19.1,19.6,19.6,19.6,19.56,19.6,19.35,19.3,19.26,-228.5,-1.861,1.861
"2020-11-09 14:30:00",2,14.46,22.56,"NAN","NAN","NAN","NAN",18.69,19.23,19.1,19.23,19.23,19.27,18.97,19.01,18.93,-278.9,7.442,-7.442
"2020-11-09 14:45:00",3,14.48,22.11,"NAN","NAN","NAN","NAN",18.48,18.89,18.81,18.93,18.98,19.06,18.93,18.93,18.89,-277,14.04,-14.04
"2020-11-09 15:00:00",4,14.42,22.22,"NAN","NAN","NAN","NAN",18.27,18.89,18.93,19.14,19.14,19.18,18.93,18.97,18.85,-275.3,13.7,-13.7
"2020-11-09 15:15:00",5,14.43,22.17,"NAN","NAN","NAN","NAN",17.73,18.44,18.52,18.6,18.56,18.6,18.39,18.35,18.43,-274.5,17.76,-17.76
"2020-11-09 15:30:00",6,14.43,21.72,"NAN","NAN","NAN","NAN",17.11,17.65,17.56,17.81,17.85,17.77,17.77,17.85,17.81,-273.8,16.75,-16.75
"2020-11-09 15:45:00",7,14.46,21.02,"NAN","NAN","NAN","NAN",16.24,16.65,16.65,16.69,16.82,16.82,17.06,17.06,17.1,-273.3,17.08,-17.08
"2020-11-09 16:00:00",8,14.5,20.21,"NAN","NAN","NAN","NAN",15.41,15.74,15.74,15.82,15.99,16.03,16.19,16.11,16.11,-272.7,21.14,-21.14
"2020-11-09 16:15:00",9,14.45,19.42,"NAN","NAN","NAN","NAN",15.12,15.99,16.16,16.41,16.49,16.53,16.61,16.69,16.65,-271.9,20.64,-20.64
"2020-11-09 16:30:00",10,14.39,18.64,"NAN","NAN","NAN","NAN",14.19,14.72,14.85,15.06,15.18,15.35,15.43,15.43,15.43,-271.7,22.67,-22.67
"2020-11-09 16:45:00",11,14.34,17.92,"NAN","NAN","NAN","NAN",14.17,14.75,15,15.21,15.25,15.37,15.45,15.58,15.53,-272.1,25.37,-25.37
"2020-11-09 17:00:00",12,14.27,17.24,"NAN","NAN","NAN","NAN",13.2,13.74,14.03,14.4,14.49,14.7,14.73,14.9,15.02,-271.4,23.35,-23.35
"2020-11-09 17:15:00",13,14.24,16.59,"NAN","NAN","NAN","NAN",12.56,13.18,13.59,13.84,14.05,14.21,14.42,14.5,14.5,-271.8,21.15,-21.15
"2020-11-09 17:30:00",14,14.2,15.92,"NAN","NAN","NAN","NAN",12.35,12.76,12.93,13.26,13.55,13.72,13.75,13.92,13.92,-272.5,21.15,-21.15
"2020-11-09 17:45:00",15,14.16,15.31,"NAN","NAN","NAN","NAN",11.85,12.35,12.51,12.72,12.85,13.18,13.17,13.26,13.3,-273,15.06,-15.06
"2020-11-09 18:00:00",16,14.12,14.8,"NAN","NAN","NAN","NAN",11.52,12.1,12.35,12.68,12.84,13.01,13.13,13.22,13.34,-274.6,14.04,-14.04
"2020-11-09 18:15:00",17,14.09,14.37,"NAN","NAN","NAN","NAN",12.02,12.43,12.64,12.93,12.85,13.09,13.18,13.38,13.42,-275.4,14.38,-14.38
"2020-11-09 18:30:00",18,14.06,14.01,"NAN","NAN","NAN","NAN",11.77,12.31,12.51,12.84,12.97,13.26,13.34,13.51,13.59,-275.4,12.35,-12.35
"2020-11-09 18:45:00",19,14.04,13.73,"NAN","NAN","NAN","NAN",11.69,12.35,12.6,12.84,13.01,13.3,13.42,13.75,13.75,-276,5.584,-5.584
"2020-11-09 19:00:00",20,14,13.54,"NAN","NAN","NAN","NAN",11.69,12.02,12.1,12.35,12.52,12.76,12.84,12.93,13.01,-278,3.892,-3.892
"2020-11-09 19:15:00",21,13.98,13.35,"NAN","NAN","NAN","NAN",11.66,11.95,12.28,12.53,12.61,12.86,13.02,13.19,13.31,-278.7,5.245,-5.245
"2020-11-09 19:30:00",22,13.95,13.21,"NAN","NAN","NAN","NAN",11.21,11.71,11.87,12.04,12.29,12.54,12.62,12.78,12.78,-278.7,5.922,-5.922
"2020-11-09 19:45:00",23,13.93,13.05,"NAN","NAN","NAN","NAN",11.29,11.7,11.95,12.2,12.24,12.53,12.69,12.69,12.82,-278.9,1.692,-1.692
"2020-11-09 20:00:00",24,13.89,12.91,"NAN","NAN","NAN","NAN",11.39,11.88,11.96,12.29,12.3,12.63,12.71,12.79,13.04,-279.5,3.215,-3.215
"2020-11-09 20:15:00",25,13.88,12.81,"NAN","NAN","NAN","NAN",11.72,12.22,12.3,12.72,12.8,13.09,13.17,13.38,13.54,-279.8,1.861,-1.861
"2020-11-09 20:30:00",26,13.86,12.79,"NAN","NAN","NAN","NAN",11.48,11.81,12.01,12.3,12.3,12.64,12.84,13.05,13.21,-279.7,2.369,-2.369
"2020-11-09 20:45:00",27,13.84,12.79,"NAN","NAN","NAN","NAN",10.82,11.27,11.64,12.06,12.55,12.93,13.38,13.71,13.8,-280,-0.677,0.677
"2020-11-09 21:00:00",28,13.81,12.81,"NAN","NAN","NAN","NAN",11.65,12.22,12.43,12.72,12.81,13.1,13.22,13.3,13.55,-280.7,0.338,-0.338
"2020-11-09 21:15:00",29,13.79,12.84,"NAN","NAN","NAN","NAN",11.56,12.06,12.39,12.63,12.64,13.05,13.17,13.3,13.38,-280.5,-1.692,1.692
"2020-11-09 21:30:00",30,13.78,12.88,"NAN","NAN","NAN","NAN",11.85,12.3,12.63,12.84,12.88,12.96,13.37,13.54,13.62,-281.1,0.677,-0.677
"2020-11-09 21:45:00",31,13.76,12.91,"NAN","NAN","NAN","NAN",11.6,12.38,12.72,12.88,12.88,13.05,13.29,13.46,13.63,-280.7,4.23,-4.23
"2020-11-09 22:00:00",32,13.74,12.91,"NAN","NAN","NAN","NAN",11.14,11.6,11.89,12.22,12.39,12.88,13.21,13.42,13.62,-280.2,1.015,-1.015
"2020-11-09 22:15:00",33,13.72,12.86,"NAN","NAN","NAN","NAN",11.1,11.48,11.81,12.06,12.3,12.72,12.88,12.96,13.29,-280.7,0.338,-0.338
"2020-11-09 22:30:00",34,13.71,12.81,"NAN","NAN","NAN","NAN",11.23,11.68,11.97,12.39,12.47,12.97,13.05,13.21,13.3,-281,-6.768,6.768
"2020-11-09 22:45:00",35,13.7,12.79,"NAN","NAN","NAN","NAN",11.63,12.09,12.38,12.63,12.75,13.04,13.12,13.29,13.54,-282.2,-1.861,1.861
"2020-11-09 23:00:00",36,13.67,12.77,"NAN","NAN","NAN","NAN",11.23,11.73,12.06,12.39,12.56,12.81,12.93,13.22,13.38,-281.7,-0.677,0.677
"2020-11-09 23:15:00",37,13.67,12.72,"NAN","NAN","NAN","NAN",11.39,11.81,12.05,12.38,12.55,12.63,12.84,13.04,13.05,-281.2,0.508,-0.508
"2020-11-09 23:30:00",38,13.65,12.7,"NAN","NAN","NAN","NAN",11.06,11.73,12.22,12.47,12.56,12.8,12.88,13.13,13.46,-281.1,3.215,-3.215
"2020-11-09 23:45:00",39,13.65,12.7,"NAN","NAN","NAN","NAN",11.64,11.97,12.26,12.64,12.72,13.05,13.13,13.3,13.42,-280.4,1.354,-1.354
"2020-11-10 00:00:00",40,13.63,12.72,"NAN","NAN","NAN","NAN",11.56,11.97,12.22,12.47,12.47,12.8,12.8,13.05,13.05,-281,-1.015,1.015
"2020-11-10 00:15:00",41,13.62,12.74,"NAN","NAN","NAN","NAN",11.31,11.73,12.06,12.31,12.47,12.72,12.97,13.21,13.42,-281.3,0.677,-0.677
"2020-11-10 00:30:00",42,13.61,12.77,"NAN","NAN","NAN","NAN",11.64,12.22,12.6,12.84,12.72,12.72,13.38,13.59,13.71,-281.3,-4.061,4.061
"2020-11-10 00:45:00",43,13.6,12.81,"NAN","NAN","NAN","NAN",11.39,11.89,12.39,12.72,12.88,13.05,13.54,13.71,13.96,-282.1,-3.215,3.215
"2020-11-10 01:00:00",44,13.59,12.88,"NAN","NAN","NAN","NAN",11.97,12.3,12.71,12.96,12.96,13.13,13.38,13.54,13.62,-282.3,-5.753,5.753
"2020-11-10 01:15:00",45,13.59,12.93,"NAN","NAN","NAN","NAN",11.73,12.22,12.31,12.47,12.64,12.97,13.05,13.21,13.34,-283,-10.49,10.49
"2020-11-10 01:30:00",46,13.57,12.91,"NAN","NAN","NAN","NAN",11.3,11.76,11.97,12.21,12.34,12.55,12.63,12.71,12.79,-283.9,-12.86,12.86
"2020-11-10 01:45:00",47,13.57,12.84,"NAN","NAN","NAN","NAN",11.22,11.55,11.72,11.97,12.13,12.46,12.63,12.79,12.88,-284.4,-14.55,14.55
"2020-11-10 02:00:00",48,13.56,12.77,"NAN","NAN","NAN","NAN",11.26,11.88,12.13,12.38,12.62,12.87,12.99,13.2,13.45,-285,-13.54,13.54
"2020-11-10 02:15:00",49,13.55,12.74,"NAN","NAN","NAN","NAN",11.38,11.96,12.21,12.46,12.63,12.87,12.96,13.12,13.29,-285.1,-13.2,13.2
"2020-11-10 02:30:00",50,13.55,12.74,"NAN","NAN","NAN","NAN",11.14,11.72,11.81,12.22,12.31,12.72,12.88,13.09,13.21,-285,-15.57,15.57
"2020-11-10 02:45:00",51,13.54,12.74,"NAN","NAN","NAN","NAN",11.06,11.72,12.22,12.63,12.71,13.05,13.29,13.54,13.62,-285.7,-18.27,18.27
"2020-11-10 03:00:00",52,13.53,12.74,"NAN","NAN","NAN","NAN",11.1,11.68,12.21,12.71,12.84,13.29,13.33,13.54,13.87,-286.4,-13.2,13.2
"2020-11-10 03:15:00",53,13.53,12.74,"NAN","NAN","NAN","NAN",11.4,11.81,12.06,12.31,12.39,12.72,12.88,12.88,12.97,-285.1,-13.2,13.2
"2020-11-10 03:30:00",54,13.52,12.79,"NAN","NAN","NAN","NAN",11.47,11.96,12.13,12.34,12.54,12.79,12.87,13.04,13.2,-285.2,-12.35,12.35
"2020-11-10 03:45:00",55,13.52,12.79,"NAN","NAN","NAN","NAN",11.09,11.71,11.8,12.21,12.3,12.71,12.87,13.04,13.2,-285,-10.15,10.15
"2020-11-10 04:00:00",56,13.51,12.77,"NAN","NAN","NAN","NAN",11.25,11.71,12.04,12.29,12.37,12.7,12.86,12.95,13.11,-284.6,-2.707,2.707
"2020-11-10 04:15:00",57,13.51,12.77,"NAN","NAN","NAN","NAN",11.39,11.96,12.05,12.42,12.63,13.04,13.2,13.53,13.7,-283.1,-5.415,5.415
"2020-11-10 04:30:00",58,13.5,12.79,"NAN","NAN","NAN","NAN",11.97,12.38,12.88,13.09,12.92,13.04,13.62,13.87,13.95,-283.4,-8.46,8.46
"2020-11-10 04:45:00",59,13.5,12.91,"NAN","NAN","NAN","NAN",11.79,12.37,12.95,13.28,13.28,13.28,13.86,13.99,14.27,-283.6,-4.738,4.738
"2020-11-10 05:00:00",60,13.49,12.95,"NAN","NAN","NAN","NAN",11.47,11.97,12.55,12.88,12.97,13.05,13.63,13.87,14.12,-283.4,-3.215,3.215
"2020-11-10 05:15:00",61,13.49,13,"NAN","NAN","NAN","NAN",11.54,12.04,12.37,12.62,12.33,12.45,12.94,13.28,13.69,-283,-4.907,4.907
"2020-11-10 05:30:00",62,13.48,13.05,"NAN","NAN","NAN","NAN",11.13,11.67,12.13,12.38,12.46,12.71,13.04,13.41,13.62,-283.6,-9.81,9.81
"2020-11-10 05:45:00",63,13.47,12.98,"NAN","NAN","NAN","NAN",10.55,11.25,11.79,12.04,12.12,12.37,12.7,13.03,13.03,-284.3,-10.66,10.66
"2020-11-10 06:00:00",64,13.47,12.81,"NAN","NAN","NAN","NAN",10.3,10.8,11.37,11.71,12.04,12.29,12.53,12.9,13.07,-284.9,-11.17,11.17
"2020-11-10 06:15:00",65,13.46,12.6,"NAN","NAN","NAN","NAN",9.56,10.43,11.05,11.46,11.79,11.96,12.41,12.62,12.87,-285.4,-15.91,15.91
"2020-11-10 06:30:00",66,13.46,12.39,"NAN","NAN","NAN","NAN",10.23,10.97,11.35,11.72,11.84,12.22,12.38,12.63,12.88,-286,-14.89,14.89
"2020-11-10 06:45:00",67,13.46,12.26,"NAN","NAN","NAN","NAN",10.28,10.9,11.1,11.56,11.64,12.06,12.26,12.47,12.55,-286,-14.21,14.21
"2020-11-10 07:00:00",68,13.45,12.12,"NAN","NAN","NAN","NAN",9.83,10.4,10.61,10.98,11.15,11.4,11.52,11.64,11.89,-285.5,-6.937,6.937
"2020-11-10 07:15:00",69,13.45,11.96,"NAN","NAN","NAN","NAN",9.5,10.12,10.49,11.11,11.36,11.81,12.06,12.23,12.43,-284.4,-16.24,16.24
