"TOA5","Water_table_WS3upper","CR1000","73373","CR1000.Std.32.05","CPU:WS3_upper_2020-12-07.CR1","28400","WS_3Up_wells"
"TIMESTAMP","RECORD","Batt_Volt","ptemp_Max","WS3_N1_psi","WS3_N1_rawdepth","WS3_N1_depth_corr","WS3_N1_corr_depth","WS3_N1_welltemp","WS3_N2_psi","WS3_N2_rawdepth","WS3_N2_depth_corr","WS3_N2_corr_depth","WS3_N2_welltemp","WS3_42_4_d2_psi","WS3_42_4_d2_rawdepth","WS3_42_4_d2_depth_corr","WS3_42_4_d2_corr_depth","WS3_42_4_d2_welltemp"
"TS","RN","Volts","Deg_C","PSI","cm","","cm","Deg_C","PSI","cm","","cm","Deg_C","PSI","cm","","cm","Deg_C"
"","","Smp","Max","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-12-14 08:35:00",0,13.32,0,0.231,16.27,1,15.27,4.568,1.538,108.1,1,107.1,6.494,8.97,630.4,1,629.4,7.55
"2020-12-14 08:40:00",1,13.32,-3.579,0.231,16.27,1,15.27,4.569,1.541,108.3,1,107.3,6.495,8.97,630.4,1,629.4,7.551
"2020-12-14 08:45:00",2,13.33,-3.513,0.231,16.21,1,15.21,4.569,1.541,108.3,1,107.3,6.495,8.97,630.4,1,629.4,7.552
"2020-12-14 08:50:00",3,13.33,-3.428,0.23,16.17,1,15.17,4.569,1.541,108.3,1,107.3,6.495,8.97,630.4,1,629.4,7.552
"2020-12-14 08:55:00",4,13.34,-3.364,0.229,16.11,1,15.11,4.569,1.542,108.4,1,107.4,6.495,8.96,630.3,1,629.3,7.553
"2020-12-14 09:00:00",5,13.34,-3.278,0.229,16.08,1,15.08,4.569,1.543,108.5,1,107.5,6.494,8.96,630.3,1,629.3,7.553
"2020-12-14 09:05:00",6,13.36,-3.17,0.228,16.01,1,15.01,4.568,1.543,108.5,1,107.5,6.494,8.96,630.3,1,629.3,7.553
"2020-12-14 09:10:00",7,13.36,-3.084,0.227,15.95,1,14.95,4.568,1.544,108.6,1,107.6,6.493,8.96,630.2,1,629.2,7.553
"2020-12-14 09:15:00",8,13.37,-2.998,0.226,15.89,1,14.89,4.568,1.546,108.7,1,107.7,6.493,8.96,630.3,1,629.3,7.553
"2020-12-14 09:20:00",9,13.38,-2.912,0.225,15.81,1,14.81,4.568,1.547,108.8,1,107.8,6.493,8.96,630.2,1,629.2,7.554
"2020-12-14 09:25:00",10,13.39,-2.827,0.225,15.8,1,14.8,4.568,1.549,108.9,1,107.9,6.492,8.96,630.2,1,629.2,7.554
"2020-12-14 09:30:00",11,13.41,-2.741,0.223,15.71,1,14.71,4.567,1.55,108.9,1,107.9,6.492,8.96,630.2,1,629.2,7.554
"2020-12-14 09:35:00",12,13.42,-2.655,0.223,15.7,1,14.7,4.567,1.552,109.1,1,108.1,6.492,8.96,630.3,1,629.3,7.554
"2020-12-14 09:40:00",13,13.44,-2.569,0.223,15.68,1,14.68,4.567,1.554,109.3,1,108.3,6.492,8.96,630.3,1,629.3,7.554
"2020-12-14 09:45:00",14,13.45,-2.463,0.223,15.65,1,14.65,4.567,1.554,109.3,1,108.3,6.492,8.97,630.3,1,629.3,7.554
"2020-12-14 09:50:00",15,13.47,-2.334,0.222,15.61,1,14.61,4.567,1.556,109.4,1,108.4,6.492,8.96,630.3,1,629.3,7.554
"2020-12-14 09:55:00",16,13.48,-2.228,0.222,15.58,1,14.58,4.566,1.557,109.5,1,108.5,6.492,8.97,630.3,1,629.3,7.554
"2020-12-14 10:00:00",17,13.51,-2.099,0.221,15.53,1,14.53,4.566,1.56,109.7,1,108.7,6.492,8.97,630.4,1,629.4,7.554
"2020-12-14 10:05:00",18,13.55,-1.97,0.221,15.51,1,14.51,4.566,1.562,109.8,1,108.8,6.492,8.97,630.4,1,629.4,7.554
"2020-12-14 10:10:00",19,13.59,-1.821,0.22,15.5,1,14.5,4.566,1.564,110,1,109,6.492,8.97,630.4,1,629.4,7.554
"2020-12-14 10:15:00",20,13.64,-1.652,0.22,15.45,1,14.45,4.566,1.565,110.1,1,109.1,6.492,8.97,630.5,1,629.5,7.554
"2020-12-14 10:20:00",21,13.73,-1.48,0.22,15.45,1,14.45,4.566,1.566,110.1,1,109.1,6.492,8.97,630.7,1,629.7,7.554
"2020-12-14 10:25:00",22,14.04,-1.311,0.219,15.38,1,14.38,4.566,1.567,110.2,1,109.2,6.492,8.97,630.6,1,629.6,7.554
"2020-12-14 10:30:00",23,14.6,0,0.218,15.34,1,14.34,4.565,1.567,110.2,1,109.2,6.492,8.97,630.7,1,629.7,7.555
"2020-12-14 10:35:00",24,14.89,-0.841,0.219,15.36,1,14.36,4.565,1.569,110.3,1,109.3,6.492,8.97,630.8,1,629.8,7.556
"2020-12-14 10:40:00",25,14.78,-0.649,0.218,15.31,1,14.31,4.565,1.567,110.2,1,109.2,6.492,8.97,630.8,1,629.8,7.556
